frame,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9
14,60.447814431186515,59.40088817657298,167.40434652250713,164.8525208033723,101.88284008267878,104.95816169480725,136.2134533655324,132.63525421915907,143.26926391784576,137.22522290853468
15,60.4457979423378,59.616313870342175,167.19044680240077,164.93046295884776,101.77746941014748,105.50606282227425,135.96448037808145,132.87366189520944,143.27778342618544,137.2636689242302
16,60.6078130047778,59.73650637861936,167.28455069546337,164.88055647902203,101.71728420430442,105.17702012816837,135.86928265378245,132.49570160753416,143.25283402751683,137.36375067202667
17,60.52168219893232,60.616500605452096,167.280196587648,164.72513712006727,102.02438845201631,104.34045666441234,135.88559046499586,130.53470904381388,142.78625391826654,138.14860943974668
18,60.42612116635919,60.659779827908906,167.32700848165643,164.62531887515198,102.291110978877,103.922276181939,135.99907752484833,130.36496861709705,142.90967349543476,138.59755122073622
19,60.205986189313435,60.98713724356512,166.97076914361006,164.71615640857286,102.47085682749709,103.26971316857215,136.0189872256644,129.79340762849458,143.01394456346458,138.44544292534573
20,60.21922920770845,61.07656689219724,166.67260781998513,164.07959989855516,102.40668262444463,102.48757143893432,135.49567962666748,130.00230062766985,144.0475160864811,139.9763016137952
21,60.556796197880054,61.02929198865166,167.0002999770019,163.8510167011573,102.30818062749975,102.14944978037073,135.13991567733265,130.29284680396748,144.20511374595972,140.93253954782276
22,60.56927712931931,60.88249173024671,167.00001429517116,163.6817545221004,102.12001395290768,101.71453964342456,134.42659600444532,129.67970281528477,146.63271364267618,140.99054234315167
23,60.4705198735204,60.81732217818875,166.99845761220516,163.69116954638133,101.97546099460187,100.35852716202783,133.9105256249288,128.39655389948427,146.4979952409903,141.2907569632985
24,60.27688484180718,60.83470718966823,166.70105020645514,163.9871824741637,101.64993785758104,99.470593637949,133.88191315275887,127.71695995960602,147.4369303246444,141.07565081988457
25,60.04325765364896,60.67210751387304,166.644088024272,164.12052060919657,101.70242082750106,99.29208611954869,133.9252916914024,127.3674879647962,146.47821686912025,141.38786657242431
26,59.97767979620033,60.65671226077816,166.6305509440679,164.38529342222336,101.83548238177923,99.23434726790778,133.94311098984966,127.16706166708468,146.5778701150779,142.00908441583104
27,59.96335689511346,60.59222031673118,166.592438850164,164.30829100522527,101.88675895302595,99.24186595869654,133.01058395381804,126.95618158320698,148.91089048226016,143.13622006652764
28,60.00267403455732,60.512986688025315,166.66842230576728,164.31598765011958,101.91687373391119,99.36058275720522,132.7223022669205,127.07329656605748,148.2296931163345,143.0970470311606
29,60.08793947216835,60.474920922383866,166.79766228526825,164.11086137297553,101.99711517862863,99.4083111646167,132.61611246554398,126.66097766819118,146.38008528995763,143.0829663946259
30,60.189258032402336,60.50597968648888,166.9216582551518,163.8899948762174,102.00847369769063,99.35350684563711,132.72847960506894,126.059124564721,146.5691017634739,142.82624161905628
31,60.39902197255029,60.56555643345004,167.14423134633796,164.07488240873275,101.9251373832699,99.65229442873863,132.7824322366149,126.52888980576358,146.11156409733888,142.1870805901898
32,60.41323302935472,60.54887418467626,167.20104547943257,164.1891972840299,101.97224035669167,99.87330113527999,133.3715389567202,126.88440091069941,146.6808957046739,142.00554908783315
33,60.34318451550361,60.5449521575867,167.23816444810225,164.24652910545373,102.06455845344284,100.0464154268512,133.40818985023205,126.8515714754821,146.95093384152202,141.30019928504097
34,60.28481241363288,60.51248565117925,167.22205237325633,164.2458970973866,102.14691849540395,100.238941279714,133.48539832232308,126.83450174866468,145.94901867008716,140.68193495625292
35,60.12474693197006,60.53061217744923,167.2563888427946,164.35216582591917,102.39432466395513,100.40606778536085,133.8577417105569,126.95014984253174,146.2760990060608,140.86909494465755
36,60.03025665244645,60.33958604287417,167.24199807680287,164.1642918291085,102.49716793973155,100.69677670194666,133.77652113478797,126.43025527021314,146.36357094566637,141.05772270157448
37,59.920186942196885,60.27638830672664,167.29822119582283,163.94582072188015,102.60577285794419,100.71578671842884,133.73615474652067,126.07239559229279,146.72793773974396,141.20321382972276
38,59.90272774787029,60.228602105956774,167.46552952006755,163.93892254357053,102.69980606005566,100.59891737625246,134.20268151709564,125.59154491186723,146.12225130864766,140.8350893215984
39,59.803572704536485,60.08741429429184,167.6108891440424,163.85891774987886,102.7817545232678,100.7338937673772,134.39744024907333,125.7249994731917,145.5150270630782,140.49219709890545
40,59.763849795986296,59.968907156733465,167.90102496099047,164.04505240344156,102.86394969651764,100.62757690215979,134.605087761176,125.504924291955,144.2085034607716,140.34964028389516
41,59.596862430599934,59.799872448520816,167.8063511252701,163.99558683442064,102.99555492494953,100.56697591888054,134.75380175200908,125.3608173800466,145.8122482686882,140.41350914798326
42,59.68368543824699,59.745879031038754,167.82851214359997,164.01024976200816,103.23382096409416,101.04881411528302,135.04008548650967,126.41360035816973,144.9060435470195,139.94850669476799
43,59.90762160589145,59.89563339315831,167.85681328690902,164.38529146266507,103.21194026427247,101.45450697196998,135.28000569062675,128.9447774110354,144.44752860398302,137.88262708864792
44,60.362053760212085,60.13347697551251,167.95619681463685,164.55177328995606,103.1034997854841,102.43343873259522,135.43958194808587,130.55990846083222,143.37123078539838,138.88799793017228
45,60.86108106178886,60.34006633903926,167.8063418945194,164.16809633167532,102.85494774674942,102.57754442596998,135.68477452318066,131.03377927892961,143.9961072025133,138.60944498748538
46,60.88440201809404,60.52262429474833,167.92085439141508,164.354757930255,103.13148477988973,103.09982703537607,135.16880297229633,132.07019159200345,145.20699578405066,139.06844529367953
47,60.96307109310022,60.472669325967054,168.11374121188385,164.35023238585066,103.54895292700358,103.67701329581222,135.71323495150912,132.63559344850998,145.76143959032225,139.07528924424037
48,61.10487271055829,60.435748023798055,168.15880874508173,164.3775540552748,103.84978819572585,104.27863823952771,136.29059360279194,132.96115598811753,144.9912917606038,139.1408349687092
49,61.0076487878382,60.35193386505082,168.2129829466747,164.33638180026037,104.09092742985104,104.60004708308746,136.73501654451823,133.01506688412684,144.40844777619947,139.1153300537919
50,60.59322240236629,60.14875559138973,168.09760933183432,164.3081835753983,104.50328426081988,105.80872989170683,136.94816053058034,133.89426046315566,145.31454776558846,139.6819980905036
51,56.33179919162231,57.02085529065738,166.91701116293976,163.57784680294856,109.48129638695629,107.64629916827862,136.06419876778577,128.33045558615615,129.94741120950604,135.706717949886
52,55.80683469948643,56.87462442925626,164.81939582246628,164.1046023572049,108.12736968463422,107.08235414455177,133.75987625501136,132.0008325746902,130.36148904187107,134.73111774629194
53,55.25697885429265,56.5914014515925,162.92776931090995,164.06253359698655,107.81065153585736,106.76091125437843,134.06733077817557,130.12949429649902,134.30702945196012,134.63044563728005
54,55.449594121556984,57.972061539004514,163.5046928950325,165.18433921167926,106.88208010236754,107.24446833264675,127.73620183408144,134.51145261201054,135.572032610933,138.5009740664852
55,55.29751697878861,58.13154978465337,163.87639100497466,165.5812294286266,106.8495513096151,112.64474740522988,121.85900821599066,142.66417451879192,139.1288485928977,148.4814795158564
56,55.59004786376265,59.11349613235645,163.72776296378365,165.37774318827314,107.15194942721016,111.97393636984337,130.43587456693274,142.32779656134306,142.55122721259477,148.40725938248374
57,55.5811445282152,58.70599914690991,163.67548414249444,164.89548276285953,107.36330949672922,111.7016072197333,132.0344631258235,140.9761683150331,137.5442595894675,144.43126849778866
58,55.93222020561554,58.546567562885556,164.12343143266224,164.72678344803037,107.21541042544766,111.85606668756279,130.70772801995304,141.61941696766186,143.72019416106932,146.6595341382614
59,55.982083984022026,58.461593040964694,164.15493268572615,164.32194026663902,107.28356142543693,111.59116295842055,130.5262621016231,140.57476518946257,141.92991153150405,144.73634438556368
